,text,target
0,Относительная погрешность измерения времени не должна превышать +/- 10%.,1.0
1,"Скорость нарастания давления не более 0,1 МПа/с.",1.0
2,"Продолжительность выдержки - не менее 5 мин. 7.6.3 Утечка в затворах не должна превышать значений, установленных для соответствующих классов герметичности по ГОСТ 9544.",
3,Продолжительность выдержки - не менее 3 мин. 7.5.2 Утечка воздуха через монтажные соединения и уплотнения комплектующего оборудования и трубопроводов не допускается.,
4,"Скорость нарастания давления - не более 0,5 МПа/с.",
5,При обнаружении резонансных точек устройство необходимо подвергать воздействию вибрации на каждой резонансной частоте в течение 30 мин.,
6,"Использование образцов раствора пенообразователя, полученных в результате осаждения готовой пены, не допустимо, так как может привести к получению недостоверных результатов. 7.10.1 Определение дозирования пенообразователя на основе измерения расхода воды и пенообразователя 7.10.1.1 Сущность данного способа состоит в измерении расхода воды и расхода пенообразователя с последующим вычислением величины дозирования пенообразователя. 7.10.1.2 Расход пенообразователя определяют одновременно с расходом воды при проведении испытаний по 7.9.",
7,Необходимо непрерывно отслеживать частоту вибраций от 5 до 40 Гц при темпе не более 5 мин/октава и амплитуде колебаний 1 мм.,
8,"Выбор способа определения кратности осуществляется разработчиком устройства. 7.11.2.1 Определение кратности способом взвешивания образца пены Сущность данного способа состоит в том, что плотность раствора пенообразователя с достаточной точностью может быть принята 1 кг/дм 3.",
9,"Если расхождение между полученным значением и вычисленным по 7.10.2.3 отличается более чем на 5%, требуется повторить испытания по 7.10.2.2 для определения новой калибровочной кривой.",
10,"Интервалы записи данных можно увеличить до 30 с, если время выделения из пены 25% жидкой фазы превышает 5 мин. 7.11.3.5 На основании полученных данных строят график зависимости времени от объема выделившегося из пены раствора и определяют показатель устойчивости как время выделения из пены такого объема раствора, масса которого составляет заданный процент от массы пены (25% или 50%).",
11,"Устройство считается выдержавшим испытания, если определенное при испытаниях значение дозирования соответствует указанному в ТД. 7.11 Определение кратности и устойчивости пены Кратность и показатель устойчивости определяют для образцов пены, собранных при работе устройства в установившемся режиме с параметрами, соответствующими ТД на устройство. 7.11.1 Сбор образцов компрессионной пены 7.11.1.1 Сбор образцов пены осуществляют с помощью специального коллектора.",
12,"Скорость нарастания давления - не более 0,1 МПа/с.",
13,"Запись данных должна продолжаться не менее чем на 30 с дольше того момента, когда количество жидкости превысит 1/10 объема контейнера, или когда вся пена перейдет в жидкость, в зависимости от того, что наступит раньше.",
14,"Допустимое расхождение между результатами наиболее отличающихся определений с доверительной вероятностью 0,95 должно быть не более 10% среднего значения. 7.11.2.2 Определение кратности способом взвешивания образцов пены и раствора Сущность данного способа состоит в том, что соотношение объемов пены и раствора, из которого эта пена получена, заменяют соотношением массы раствора, равного по объему пене, и массы пены.",
15,"Допустимое расхождение между результатами наиболее отличающихся определений с доверительной вероятностью 0,95 должно быть не более 10% среднего значения.",
16,"Допустимое расхождение между результатами наиболее отличающихся определений с доверительной вероятностью 0,95 должно быть не более 10% среднего значения. 7.11.2.3 Определение кратности пены способом измерения объема выпадающего раствора Данный способ основан на прямом измерении объема раствора, собранного после перехода 100% пены в жидкую фазу, поэтому он является наиболее точным.",
17,"При этом способ установки контейнера на цилиндр должен исключать возможность вытекания жидкости из контейнера за пределы мерного цилиндра. 7.11.3.4 Каждые 15 с осуществляют измерения объема жидкости, образовавшегося в нижней части мерного цилиндра.",
18,"Допустимое расхождение между результатами наиболее отличающихся определений с доверительной вероятностью 0,95 должно быть не более 10% среднего значения.",
19,"Уравнение данной функции является калибровочной кривой для определенного типа пенообразователя, качества воды и номинального процента дозирования пенообразователя. 7.10.2.3 Образцы раствора пенообразователя, по которым осуществляют оценку значения дозирования пенообразователя, получают в установившемся режиме работы устройства при температуре (21 +/- 2) °C.",
20,"Переполнение контейнера пеной не допускается. 7.11.2 Определение кратности компрессионной пены Для определения кратности сбор пены по 7.11.1 осуществляют в контейнеры вместимостью (1,8 +/- 0,2) дм 3.",
21,"Если ссылочный документ отменен без замены, то положение, в котором дана ссылка на него, применяется в части, не затрагивающей эту ссылку. 3 Термины, определения и сокращения 3.1 В настоящем стандарте применены следующие термины с соответствующими определениями: 3.1.1 3.1.2 установка пенного пожаротушения (foam fire extinguishing system): Установка пожаротушения, в которой в качестве огнетушащего вещества используют воздушно-механическую пену для пожаротушения локально-объемным или локально-поверхностным способом. 3.1.3 компрессионная пена (compressed air foam): Воздушно-механическая пена низкой кратности с однородной структурой, полученная путем смешивания воды, пенообразователя и воздуха (газа) под давлением.",
22,"Примечание - Требование устойчивости к климатическим воздействиям не распространяется на устройства, предназначенные к использованию внутри помещений. 4.2.15 Устройство должно обладать устойчивостью к воздействию вибрации частотой от 5 до 40 Гц и амплитудой колебания 1 мм, если это необходимо согласно условиям эксплуатации, транспортирования или хранения, указанным в ТД. 4.2.16 Конструкция входящих в состав устройства ручных задвижек, затворов и кранов должна позволять проводить их опломбирование в рабочем положении. 4.2.17 При осмотре ручных запорных устройств (задвижек, затворов и кранов) должна быть обеспечена возможность визуального контроля их состояния: ""Открыто"" - ""Закрыто"".",
23,"Категории, условия эксплуатации, хранения и транспортирования в части воздействия климатических факторов внешней среды ГОСТ 18321 Статистический контроль качества.",
24,"Нормы герметичности затворов ГОСТ 15150 Машины, приборы и другие технические изделия.",
25,Общие требования безопасности ГОСТ 12.2.037 Система стандартов безопасности труда.,
26,Требования безопасности ГОСТ 12.4.026 Система стандартов безопасности труда.,
27,Методы испытаний ГОСТ 12.4.124 Система стандартов безопасности труда.,
28,Эксплуатационные документы ГОСТ 12.2.003 Система стандартов безопасности труда.,
29,"Методы контроля герметичности затвора - по ГОСТ 33257 . 7.7 Проверка на устойчивость к климатическим воздействиям (4.2.14) 7.7.1 Настоящую проверку проводят, если требования 4.2.14 распространяются на данное проверяемое устройство. 7.7.2 Устойчивость устройства к климатическим воздействиям (4.2.14) проверяют в климатических камерах, при этом устройство должно находиться в обесточенном состоянии. 7.7.3 Испытания на холодо- и теплоустойчивость проводят при температуре в соответствии с исполнением и категорией по ГОСТ 15150 (теплоустойчивость - не ниже 50 °C).",
30,"Для этого готовят образцы раствора пенообразователя объемом 100 мл в трех концентрациях: номинальной концентрации, номинальной концентрации плюс один (или два) процента, номинальной концентрации минус один (или два) процента.",
31,Примечание - При вычислении объема раствора допускается принимать плотность раствора равной 1 кг/дм 3 . 7.11.3.6 За результат принимают среднеарифметическое значение времени выделения из пены заданного процента жидкой фазы (25% или 50%) для двух (или более) контейнеров.,
32,"Методы контроля герметичности - по ГОСТ 33257 . 7.6 Испытания на герметичность затворов (4.2.13) 7.6.1 Герметичность затворов запорной арматуры устройства проверяют в положении, соответствующем дежурному режиму. 7.6.2 Вид испытательной среды и испытательное давление устанавливают в зависимости от рабочей среды арматуры: - для арматуры, которая по условиям эксплуатации находится под давлением воды, испытательная среда - вода, испытательное давление P исп = 1,1 P р ; - для арматуры, которая по условиям эксплуатации находится под давлением пенообразователя, испытательная среда - вода, испытательное давление P исп = 1,1 P ПО , где P ПО - давление в линии подачи пенообразователя в дежурном режиме; - для арматуры, которая по условиям эксплуатации находится под давлением воздуха (газа), испытательная среда - воздух, испытательное давление равно (0,60 +/- 0,1) МПа.",
33,"Поэтому при использовании соленой воды следует осуществлять измерение величины дозирования по методике 7.10.1 . 7.10.2.2 До начала испытаний для каждого типа пенообразователя и для каждого номинального значения дозирования определяют эталонную (калибровочную) кривую зависимости электропроводности раствора пенообразователя от концентрации пенообразователя, содержащегося в растворе.",
34,За результаты испытаний принимают среднеарифметическое значение не менее чем трех измерений. 7.10.1.5 Допускается применение иных метрологически аттестованных методик измерения расхода пенообразователя.,
35,Предварительно проводят тарировку уровнемера для определения объема жидкости в единице деления любым удобным для испытателя способом.,
36,"Снятие показаний с расходомера осуществляют в стационарном режиме, когда значения давления перед устройством и за ним будут соответствовать значениям, заданным в ТД. 7.10.1.3 Допускается также определять расход пенообразователя с использованием уровнемера, установленного на емкости с пенообразователем.",
37,"Если заменен ссылочный документ, на который дана датированная ссылка, то следует использовать указанную версию этого документа.",
38,Допускается совмещать определение различных показателей в одном испытании. 6.5 При получении неудовлетворительных результатов хотя бы по одному из показателей должны быть проведены повторные испытания удвоенного количества устройств для проверки указанного показателя.,
39,"Общие требования к организации и методам контроля качества"". 7.1.4 Допустимая погрешность приборов и оборудования, используемых при проведении испытаний, должна быть в пределах, приведенных в таблице 7.1.",
40,"При работе устройства в стационарном режиме, когда значения давления перед и за устройством соответствуют значениям, заданным в ТД, определяют начальное и конечное показания уровня в мерной трубке за заданное время. 7.10.1.4 Расход пенообразователя Q ПО , дм 3 /с, рассчитывают по формуле Q ПО = q ·( N н - N к )/ t , (7.1) где q - цена деления мерной трубки, дм 3 /дел.; N н ; N к - начальное и конечное значения делений на мерной трубке; t - время испытаний, с.",
41,В этом случае методика измерения расхода воды определяется изготовителем. 7.10 Проверка дозирования пенообразователя Проверку дозирования пенообразователя осуществляют одним из следующих способов: - измерением расхода воды и пенообразователя (7.10.1) ; - измерением проводимости раствора (7.10.2).,
42,За результаты испытаний принимают среднеарифметическое значение не менее чем трех измерений. 7.9.2 Допускается применение иных метрологически аттестованных методик измерения расхода воды.,
43,Значение давления испытательной среды устанавливают не менее рабочего давления на вводе в устройство.,
44,"Каждый образец раствора должен быть помещен в пластиковую емкость с крышкой, промаркирован и тщательно перемешан, например с использованием магнитной мешалки.",
45,"Контейнеры, заполненные пеной по 7.11.1 , закрывают во избежание испарения и оставляют на время, необходимое для перехода всего количества пены в раствор.",
46,"Предварительно, до измерения массы контейнеров, необходимо увлажнить контейнеры внутри, а затем измерить массу пустых увлажненных контейнеров, после чего осуществить сбор пены в них.",
47,Количество контейнеров - не менее двух.,
48,Объем контейнеров и масса каждого из них должны быть измерены до начала испытаний с точностью в соответствии с 7.1.4.,
49,"При этом следует использовать те же воду и пенообразователь, что и при испытаниях устройства.",
50,"Для полученного калибровочного графика определяют аппроксимирующую функцию, при этом коэффициент детерминации R 2 должен быть не менее 0,95.",
51,"Затем с помощью кондуктометра, следуя руководству по его эксплуатации, измеряют проводимость полученных образцов и по имеющейся калибровочной кривой определяют искомое значение процента дозирования пенообразователя. 7.10.2.4 Завершающим этапом испытаний является приготовление нового образца раствора, концентрация пенообразователя в котором соответствует концентрации, вычисленной по 7.10.2.3.",
52,"Контейнер должен быть заполнен полностью, равномерно, без образования пустот.",
53,"Момент начала истечения испытательной среды необходимо определять с помощью датчиков давления, аудио- и видеозаписи или другими объективными методами контроля.",
54,"При этом следует использовать те же воду и пенообразователь, что и при испытаниях устройства.",
55,Определение кратности пены проводят одним из следующих способов: - взвешиванием образца пены (7.11.2.1) ; - взвешиванием образцов пены и раствора (7.11.2.2) ; - измерением объема выпадающего раствора (7.11.2.3).,
56,По окончании сбора пены определяют массу m i собранной в каждом контейнере пены как разность масс заполненного и пустого контейнеров и объем V i пены как объем контейнера.,
57,"Критерием предельного состояния устройств считают такое их техническое состояние, при котором восстановление работоспособности устройства невозможно или нецелесообразно. 7.17.2 Показатель установленной безотказной наработки проверяют на соответствие требованиям 4.5.1 наработкой циклов.",
58,Массу раствора m pi в i -м контейнере определяют как разность масс заполненного и пустого контейнеров.,
59,"При этом должно быть обеспечено: создание и регулирование предусмотренного ТД диапазона рабочих давлений на входе и выходе устройства; расход воды и пенообразователя, требуемый для испытаний; контроль значений проверяемых показателей. 7.1.3 Испытательные среды: при гидравлических испытаниях - вода питьевая по нормативному документу государства, принявшего настоящий стандарт <1> ; при пневматических - воздух или газ согласно ТД изготовителя. -------------------------------- <1> В Российской Федерации действует ГОСТ Р 51232-98 ""Вода питьевая.",
60,Температура раствора должна составлять (21 +/- 2) °C.,
61,"Испытание образцов проводят при температуре окружающего воздуха от 10 °C до 40 °C, скорости его движения не более 0,5 м/с и относительной влажности (60 +/- 15)%, измеренных на расстоянии от 1 до 1,5 м от поверхности образца. 9.2.",
62,"Длина образцов должна быть не менее 2,4 м, ширина - не менее 1,3 м, толщина - по технической документации. 6.4.",
63,"Продолжительность огневого воздействия на образцы конструкций должна соответствовать минимальному требуемому пределу огнестойкости испытываемой конструкции, но не превышать 45 мин.",
64,"Способность к воспламенению газов, выделяющихся при термическом разложении материалов образца, проверяют посредством поднесения горящего факела к местам выхода этих газов на необогреваемые поверхности образца не реже чем через каждые 5 мин испытания и через каждую минуту - при появлении вспышек газа; длина намотки факела должна быть не менее 150 мм, а диаметр - не менее 40 мм.",
65,"Допускается определять размер повреждения по результатам испытания одного образца, если этот размер отличается от допускаемого, приведенного в таблице 1 , более чем на 15%.",
66,"В случае различия результатов испытаний двух одинаковых образцов более чем на 15% проводят третье испытание, при этом размер повреждения определяют как среднеарифметическое значение по результатам испытаний двух образцов, имеющих наибольшие размеры повреждения.",
67,"При отсутствии вышеуказанных протоколов испытаний и при необходимости использования показателей пожарной опасности материалов для классификации конструкции по пожарной опасности должны представляться образцы материалов, из которых изготовлена конструкция, для испытаний на горючесть, воспламеняемость и дымообразующую способность по 4.2 и 4.3 с соответствующей документацией.",
68,"При этом среднее отклонение температуры от стандартного режима при калибровке не должно превышать следующих значений, %: +/- 7,5 - в течение 10 мин от начала испытания; +/- 5 - после 10 мин от начала испытания. 7.4.",
69,"В случае необходимости по требованию испытательной лаборатории в процессе изготовления образцов для испытаний следует проводить отбор проб материалов, в том числе негорючих, из которых изготовляют образцы, для проведения идентификационного и калориметрического контроля в соответствии с нормативными документами <*>.",
70,"Рекомендуемая площадь сечения проема (зазора) между обогреваемой поверхностью калибровочного образца и торцом перекрытия (перегородки), разделяющего огневую и тепловую камеры печи, - 0,05 м2. 7.6.",
71,"При этом отклонение средней температуры, измеренной термопарами 19 - 21 по зависимости (1) , не должно превышать следующих значений, %: 15 - в течение 10 мин от начала калибровки; 10 - после 10 мин от начала калибровки. 7.5.",
72,"Одна и та же конструкция может принадлежать к различным классам пожарной опасности в зависимости от времени теплового воздействия, например: К0(15) - конструкция класса К0 при времени теплового воздействия 15 мин; К1(30) - конструкция класса К1 при времени теплового воздействия 30 мин; К2(45) - конструкция класса К2 при времени теплового воздействия 45 мин; К1(30)/К3(45) - конструкция класса К1 при времени теплового воздействия 30 мин и класса К3 при времени теплового воздействия 45 мин. 10.5.",
73,"Пожарную опасность конструкции характеризуют: - наличием теплового эффекта (но не его значением) от горения материалов образца, который выражается в превышении температуры в тепловой камере по сравнению с верхней допустимой границей температурного режима, установленного в 7.4 ; - наличием пламенного горения газов, выделяющихся при термическом разложении материалов образца, продолжительностью более 5 с; - наличием горящего расплава при продолжительности его горения более 5 с; - размером повреждения образца в контрольной зоне с учетом условий 9.15 . 10.2.",
74,"Повреждением считается обугливание, оплавление и выгорание материалов, из которых изготовлена конструкция, на глубину более 2 мм.",
75,"Калибровку печи проводят: - после 10 испытаний; - при изменении конструкции или футеровки печи; - при изменениях в системе подачи и сжигания топлива; - при замене типа топлива; - при температуре окружающей среды во время испытания образца, отличающейся более чем на 10 °C от температуры среды при проведении предшествующей калибровки. 7.8.",
76,"Материалы и детали образцов, подлежащих испытанию, в том числе стыковые соединения ограждающих конструкций, должны соответствовать технической документации на их изготовление и применение. 6.5.",
77,Термины и определения В настоящем стандарте применяют следующие термины с соответствующими определениями: 3.1.,
78,"Если ссылочный стандарт заменен (изменен), то при пользовании настоящим стандартом следует руководствоваться заменяющим (измененным) стандартом.",
79,Номенклатура показателей и методы их определения ГОСТ 6616-94.,
80,"Для испытаний на пожарную опасность стержневых, в том числе слоистых, конструкций (колонн, балок, ферм, арок, рам, связей, воздуховодов и трубопроводов) допускается изготавливать плоские образцы, в которых расположение слоев и их толщина должны быть такими же, как и в стержневых конструкциях (для металлических элементов - по приведенной толщине). 6.3.",
81,"Образцы не должны иметь проемов, а также декоративной отделки или облицовки. 6.2.",
82,"Образцы конструкций для испытаний, включая стыки и их заполнение, должны быть изготовлены в соответствии с технической документацией на изготовление и применение конструкций.",
83,"Сущность метода заключается в определении показателей пожарной опасности конструкции при ее испытании в условиях теплового воздействия, установленных настоящим стандартом, в течение времени, определяемого требованиями к этой конструкции по огнестойкости. 4.2.",
84,"Горючесть материала устанавливают по ГОСТ 30244 , воспламеняемость - по ГОСТ 30402 , дымообразующую способность - по ГОСТ 12.1.044 , а при необходимости рекомендуется контролировать путем их идентификационного анализа и калориметрического анализа по действующим нормативным документам. 5.",
85,В огневой камере установки термопары следует размещать в соответствии с ГОСТ 30247.0 . 8.3.2.,
86,"К образцам должны быть приложены комплект технической документации на испытуемую конструкцию, документация, по которой изготовлены образцы, а также официальные протоколы испытаний материалов, из которых выполнена конструкция, на пожарную опасность.",
87,После остывания образца проводят его обследование с целью определения и регистрации размеров повреждения в контрольной зоне.,
88,"Конструкции, имеющие в проектном положении уклон менее 30°, следует испытывать в вертикальном положении, остальные - в горизонтальном. 9.5.",
89,"Расстояние от термопар, устанавливаемых по перечислениям в) и д) , до торца или стыка образца должно быть не менее 1/2 его толщины. 9.",
90,Образцы внутренних стен и перегородок несимметричного сечения следует испытывать при воздействии огня с каждой стороны либо со стороны с заведомо большей пожарной опасностью.,
91,"Для испытания конструкции одного типа должны быть, как правило, изготовлены два одинаковых образца.",
92,"При передаче заказчиком образцов конструкций испытательной лаборатории обеими сторонами составляется акт о соответствии образца требованиям технической документации на испытываемую конструкцию, а в случае необходимости - акт отбора проб материалов для проведения идентификационного и калориметрического контроля. 7.",
93,Калибровочные образцы должны соответствовать требованиям ГОСТ 30247.0 . 7.3.,
94,"Температуру в огневой камере следует регистрировать по показаниям термопар, установленных в соответствии с 8.3.1 . 9.9.",
95,"В процессе испытания следует регистрировать следующие параметры, по которым определяется класс пожарной опасности конструкции: - температуру в огневой и тепловой камерах для определения наличия теплового эффекта; - способность к воспламенению газов, выделяющихся при термическом разложении материалов образца; - образование горящего расплава. 9.8.",
96,"Образование горящего расплава контролируют визуально по наличию горящих капель, вытекающих из торцов образца или стекающих по поверхности образца в пределах контрольной зоны. 9.12.",
97,"Факел должен иметь держатель, обеспечивающий его безопасное использование. 9.11.",
98,"Температуру в тепловой камере следует регистрировать по показаниям термопар, установленных в соответствии с 8.3.2 . 9.10.",
99,При измерении размеров повреждения слоистых конструкций необходимо путем вскрытия обследовать все слои конструкции. 9.14.,
100,Рекомендуется определять глубину и площадь обугливания горючих материалов в пределах огневой камеры с занесением этих данных в протокол испытания. 9.15.,
101,Размер повреждения конструкции определяют как среднеарифметическое значение по результатам испытания двух одинаковых образцов.,
102,Отбор проб проводится совместно представителями испытательной лаборатории и заказчика. -------------------------------- <*> В Российской Федерации действует ГОСТ Р 53296-2009 . 6.7.,
103,При проведении калибровки испытательной установки к огневой камере крепят фрагмент стены без образцов защитно-декоративных систем. 5.7 Параметры теплового режима и параметры факела пламени на внешней стороне фрагмента стены при калибровке установки должны соответствовать требованиям раздела 7.,
104,"Интервал времени регистрации показаний тепломеров не должен превышать 10 с, термопар - 60 с. 6 Образцы конструкций для испытаний 6.1 Испытанию подвергают два образца.",
105,"А.4.2 При изменении в процессе выполнения ТА массы образца идентифицируемого материала на 10% и более следует обеспечить такие условия выполнения ТА, чтобы изменение значений регистрируемых параметров было не более 5%.",
106,"Остальные значения фиксированной потери образцом относительной массы определяют по достаточно характерным точкам на ТГ-зависимости, например, 5%, 10%, 50%, 96%.",
107,"При этом первое значение потери образцом относительной массы , %, следует принимать равным 0,5%, фиксируя соответствующую ему температуру , °C, а конечное , %, - следует определять при температуре, соответствующей окончанию всех контролируемых при ТА явлений, но не ниже 750 °C.",
108,"А.5.3 Потерю массы идентифицируемого материала [см. А.1.1, перечисление а) ] рекомендуется также характеризовать потерей относительной массы , %, при фиксированных значениях температуры °C, по достаточно характерным точкам на ТГ-зависимости, аналогично выделяя на ней не менее пяти характерных точек, например, 350 °C, 400 °C, 420 °C, 550 °C, 670 °C.",
109,"При этом допускается не включать в протокол испытаний сведения о воспламеняемости и дымообразующей способности материалов. 11.2 К протоколу испытаний должны быть приложены протоколы идентификационного контроля материалов (см. приложения А и Б ), применяемые при изготовлении образца испытуемой конструкции, пробы которых отбирают в соответствии с 6.9 . 11.3 В протоколе испытаний в соответствии с 5.7 должна быть сделана запись о виде использованного топлива и условиях его сжигания.",
110,А.3 Подготовка к проведению испытаний образцов идентифицируемого материала А.3.1 Для идентификационного контроля отбирают не менее пяти проб материала объемом не менее 1 см 3 каждая: - не менее чем из трех проб изготавливают образцы для выполнения ТА; - не менее двух проб оставляют на контрольное хранение.,
111,А.3.4 Массу и размеры образцов определяют с учетом технических требований инструкции по эксплуатации используемого для выполнения ТА прибора.,
112,"А.4 Проведение испытаний образцов А.4.1 Рекомендуемые условия выполнения ТА: - начальная температура в реакционной зоне (тигельном пространстве) от 25 °C до 30 °C; - конечная температура в реакционной зоне (тигельном пространстве) должна быть (750 +/- 5) °C или равняться температуре, соответствующей окончанию всех контролируемых при выполнении ТА явлений (см. раздел А.5 ); - скорость нагревания среды в реакционной зоне (тигельном пространстве) должна быть (20 +/- 0,6) °C/мин; - газовая среда - проточный воздух.",
113,"Приложение В (обязательное) СОДЕРЖАНИЕ АКТА КАЛИБРОВКИ УСТАНОВКИ ДЛЯ ИСПЫТАНИЯ ОБРАЗЦОВ КОНСТРУКЦИЙ В акте калибровки приводят следующие сведения: - дату калибровки; - место калибровки; - идентификационные данные об установке; - причину проведения калибровки; - температуру и влажность окружающей среды, скорость движения воздуха, измеренные на расстоянии 1 - 1,5 м от поверхности образца; - данные о виде и партии топлива, используемого при калибровке (порода древесины, марка жидкого или газообразного топлива, наименование поставщика топлива и дата поставки); - данные о весовой влажности, геометрических размерах брусков древесины и схему их укладки в огневой камере установки; - данные об общей массе топлива, израсходованного при калибровке, а также график нарастающего расхода жидкого и газообразного топлива в зависимости от времени, с интервалом измерения не более 1 мин в течение всего времени калибровки; - условия сжигания топлива, в том числе расположение и размеры вентиляционных отверстий в ограждениях огневой камеры, время и способ регулирования условий газообмена огневой камеры в процессе испытания; - графики изменения температур, регистрируемые термопарами в точках 1 - 7, и графики изменения плотности теплового потока, регистрируемые тепломерами в точках Д1 и Д2; - суммарное значение удельного теплового потенциала установки по 7.8 ; - видео- или фотоматериалы по калибровке установки.",
114,А.3.5 Для материалов с потерей массы образца в процессе выполнения ТА 10% и более массу образца рекомендуется принимать близкой к максимально возможной для используемого прибора.,
115,"В случае отличия значения хотя бы одного из измеренных значений параметра (см. раздел А.5 ) более чем на 5%, проводят третье испытание и вычисляют среднеквадратичное отклонение.",
116,"А.5.4 Параметр скорости потери массы идентифицируемого материала [см. А.1.1, перечисление б) ] характеризуют величиной A , % в минуту: , (А.1) где m - относительная масса образца материала, %; t - время, мин; V - скорость нагрева образца, °C в минуту; T - температура образца, °C.",
